ymd,data
2018/1/1,-21.6181
2018/1/2,-5.6066
2018/1/3,-14.7983
2018/1/4,-33.7448
2018/1/5,-30.1561
2018/1/6,-17.8792
2018/1/7,-29.0806
2018/1/8,18.7412
2018/1/9,-14.8673
2018/1/10,-31.8283
2018/1/11,-36.0406
2018/1/12,-22.1743
2018/1/13,-0.5175
2018/1/14,24.3593
2018/1/15,-13.5825
2018/1/16,-32.6209
2018/1/17,-6.1028
2018/1/18,-36.0627
2018/1/19,-33.3559
2018/1/20,-26.9686
2018/1/21,-23.5015
2018/1/22,-22.7597
2018/1/23,-5.1486
2018/1/24,17.6378
2018/1/25,19.523
2018/1/26,28.7135
2018/1/27,24.897
2018/1/28,25.578
2018/1/29,17.7121
2018/1/30,-25.8501
2018/1/31,1.7642
2018/2/1,12.8087
2018/2/2,20.3581
2018/2/3,-5.0711
2018/2/4,-32.1528
2018/2/5,-4.7787
2018/2/6,-23.0182
2018/2/7,-21.8762
2018/2/8,0.8748
2018/2/9,27.1455
2018/2/10,-16.5335
2018/2/11,-17.6716
2018/2/12,5.2155
2018/2/13,-11.2271
2018/2/14,-24.4467
2018/2/15,-3.8309
2018/2/16,15.6058
2018/2/17,1.7607
2018/2/18,3.3875
2018/2/19,35.2589
2018/2/20,13.6203
2018/2/21,7.7104
2018/2/22,1.9695
2018/2/23,9.0219
2018/2/24,-0.15
2018/2/25,-4.5393
2018/2/26,-18.761
2018/2/27,1.4668
2018/2/28,0.1331
2018/3/1,15.7497
2018/3/2,22.9353
2018/3/3,-0.2136
2018/3/4,27.9978
2018/3/5,6.9033
2018/3/6,-7.8456
2018/3/7,-24.8305
2018/3/8,-22.2026
2018/3/9,-18.521
2018/3/10,-15.5881
2018/3/11,-34.9567
2018/3/12,29.4511
2018/3/13,12.5312
2018/3/14,29.663
2018/3/15,24.7669
2018/3/16,22.8233
2018/3/17,20.1114
2018/3/18,20.2544
2018/3/19,21.917
2018/3/20,4.2698
2018/3/21,20.8569
2018/3/22,16.7029
2018/3/23,24.625
2018/3/24,74.6062
2018/3/25,73.2872
2018/3/26,21.3599
2018/3/27,-9.2041
2018/3/28,13.4216
2018/3/29,27.5804
2018/3/30,25.9722
2018/3/31,23
2018/4/1,17.9213
2018/4/2,23.7151
2018/4/3,23.7052
2018/4/4,23.3701
2018/4/5,27.4483
2018/4/6,22.72
2018/4/7,25.746
2018/4/8,21.2371
2018/4/9,24.0255
2018/4/10,2.0071
