ymd,data
2018/1/1,88.711
2018/1/2,90.796
2018/1/3,87.7877
2018/1/4,89.6621
2018/1/5,94.4408
2018/1/6,90.3888
2018/1/7,91.9736
2018/1/8,99.8994
2018/1/9,95.1001
2018/1/10,90.0998
2018/1/11,92.449
2018/1/12,90.9995
2018/1/13,91.4407
2018/1/14,86.4881
2018/1/15,88.5169
2018/1/16,90.5619
2018/1/17,90.1658
2018/1/18,90.5091
2018/1/19,90.3279
2018/1/20,90.5912
2018/1/21,92.1521
2018/1/22,90.1037
2018/1/23,89.4825
2018/1/24,88.3891
2018/1/25,93.7519
2018/1/26,88.1223
2018/1/27,92.1287
2018/1/28,98.8244
2018/1/29,92.319
2018/1/30,89.3847
2018/1/31,89.4172
2018/2/1,91.8238
2018/2/2,92.9927
2018/2/3,91.3484
2018/2/4,91.6372
2018/2/5,91.9024
2018/2/6,92.0774
2018/2/7,93.0862
2018/2/8,97.7059
2018/2/9,92.6098
2018/2/10,92.0722
2018/2/11,91.3936
2018/2/12,90.0847
2018/2/13,87.8627
2018/2/14,89.7587
2018/2/15,92.7597
2018/2/16,87.5333
2018/2/17,93.004
2018/2/18,99.3466
2018/2/19,84.1016
2018/2/20,85.1505
2018/2/21,95.483
2018/2/22,96.1912
2018/2/23,97.6017
2018/2/24,89.22
2018/2/25,93.6701
2018/2/26,93.8255
2018/2/27,93.6513
2018/2/28,95.3854
2018/3/1,96.3265
2018/3/2,90.9331
2018/3/3,96.6676
2018/3/4,88.9421
2018/3/5,90.8686
2018/3/6,90.2749
2018/3/7,94.2353
2018/3/8,90.4841
2018/3/9,92.7338
2018/3/10,88.8395
2018/3/11,86.4409
2018/3/12,86.3501
2018/3/13,92.6007
2018/3/14,89.4578
2018/3/15,87.4988
2018/3/16,91.3168
2018/3/17,90.1921
2018/3/18,90.1775
2018/3/19,89.9191
2018/3/20,90.9626
2018/3/21,90.5226
2018/3/22,88.4149
2018/3/23,90.1616
2018/3/24,87.895
2018/3/25,90.8402
2018/3/26,89.7941
2018/3/27,88.3343
2018/3/28,89.156
2018/3/29,90.3966
2018/3/30,84.4988
2018/3/31,84.1166
2018/4/1,83.0397
2018/4/2,57.9817
2018/4/3,59.23
2018/4/4,57.1292
2018/4/5,53.1751
2018/4/6,67.536
2018/4/7,67.9807
2018/4/8,90.1569
2018/4/9,90.878
2018/4/10,89.8615
2018/4/11,72.0437
2018/4/12,66.0944
2018/4/13,70.3224
2018/4/14,75.2637
2018/4/15,65.37
2018/4/16,69.9727
2018/4/17,89.3849
2018/4/18,75.0294
2018/4/19,71.8628
2018/4/20,81.9677
2018/4/21,77.7818
2018/4/22,67.7811
2018/4/23,61.3632
2018/4/24,73.0067
2018/4/25,90.0586
2018/4/26,92.2272
2018/4/27,89.5557
2018/4/28,89.2999
2018/4/29,89.8542
2018/4/30,61.1598
2018/5/1,62.4801
2018/5/2,63.1995
2018/5/3,56.2576
2018/5/4,77.5436
2018/5/5,56.3007
2018/5/6,77.3226
2018/5/7,69.9787
2018/5/8,69.5281
2018/5/9,90.1052
2018/5/10,94.6614
2018/5/11,89.9412
2018/5/12,86.6658
2018/5/13,89.4944
2018/5/14,89.9425
2018/5/15,68.9264
2018/5/16,57.2156
2018/5/17,89.8783
2018/5/18,89.5535
2018/5/19,89.8078
2018/5/20,90.2602
2018/5/21,74.7196
2018/5/22,65.8585
2018/5/23,77.2896
2018/5/24,67.2117
2018/5/25,75.6086
2018/5/26,61.2949
2018/5/27,73.3266
2018/5/28,75.8569
2018/5/29,72.2047
2018/5/30,69.5303
2018/5/31,71.4448
2018/6/1,91.7183
2018/6/2,103.7246
2018/6/3,79.8876
2018/6/4,74.2925
2018/6/5,58.149
2018/6/6,64.3199
2018/6/7,68.6467
2018/6/8,79.5579
2018/6/9,79.1169
2018/6/10,66.4178
2018/6/11,71.9926
2018/6/12,61.1943
2018/6/13,62.2666
2018/6/14,89.7565
2018/6/15,92.019
2018/6/16,90.1538
2018/6/17,90.0182
2018/6/18,45
2018/6/19,89.9174
2018/6/20,89.4451
2018/6/21,62.1438
2018/6/22,46.9036
2018/6/23,73.7017
2018/6/24,81.4438
2018/6/25,78.2638
2018/6/26,76.4159
2018/6/27,90.6116
2018/6/28,89.0445
2018/6/29,52.3445
2018/6/30,51.7315
2018/7/1,59.5658
2018/7/2,55.2306
2018/7/3,51.4967
2018/7/4,75.1925
2018/7/5,63.4958
2018/7/6,70.3176
2018/7/7,74.6768
2018/7/8,63.7887
2018/7/9,68.1541
2018/7/10,103.2671
2018/7/11,58.8431
2018/7/12,79.475
2018/7/13,62.5499
2018/7/14,54.3613
2018/7/15,57.8778
2018/7/16,52.7088
2018/7/17,76.6463
2018/7/18,97.0998
2018/7/19,71.3575
2018/7/20,55.7808
2018/7/21,76.046
2018/7/22,84.8047
2018/7/23,84.5538
2018/7/24,74.6647
2018/7/25,56.7809
2018/7/26,72.4152
2018/7/27,53.6091
2018/7/28,58.3042
2018/7/29,56.293
2018/7/30,61.0386
2018/7/31,65.2675
2018/8/1,80.0483
2018/8/2,64.7313
2018/8/3,75.7837
2018/8/4,64.7338
2018/8/5,57.4263
2018/8/6,58.5193
2018/8/7,65.5326
2018/8/8,60.6175
2018/8/9,0
2018/8/10,65.0982
2018/8/11,65.597
2018/8/12,0
2018/8/13,0
2018/8/14,0
2018/8/15,80.275
2018/8/16,79.8399
2018/8/17,90.5211
2018/8/18,89.7077
2018/8/19,92.6249
2018/8/20,92.4065
2018/8/21,0
2018/8/22,0
2018/8/23,55.9434
2018/8/24,45
2018/8/25,63.2069
2018/8/26,125.7779
2018/8/27,115.9539
2018/8/28,65.2724
2018/8/29,58.4597
2018/8/30,59.4806
2018/8/31,59.2176
2018/9/1,60.8543
2018/9/2,61.1354
