ymd,data
2018/1/1,44.0291
2018/1/2,33.9636
2018/1/3,40.6402
2018/1/4,53.0172
2018/1/5,42.5331
2018/1/6,35.6028
2018/1/7,41.6933
2018/1/8,39.3596
2018/1/9,46.0215
2018/1/10,43.3511
2018/1/11,39.0836
2018/1/12,42.3426
2018/1/13,37.5433
2018/1/14,50.0715
2018/1/15,47.4975
2018/1/16,33.9371
2018/1/17,40.5511
2018/1/18,42.8491
2018/1/19,51.1373
2018/1/20,42.6571
2018/1/21,47.823
2018/1/22,53.3746
2018/1/23,45.2008
2018/1/24,41.0274
2018/1/25,47.2784
2018/1/26,51.4815
2018/1/27,45.124
2018/1/28,56.6271
2018/1/29,57.5296
2018/1/30,54.3951
2018/1/31,51.3721
2018/2/1,0
2018/2/2,53.9291
2018/2/3,48.3346
2018/2/4,54.4806
2018/2/5,41.8561
2018/2/6,56.0495
2018/2/7,56.755
2018/2/8,51.7646
2018/2/9,40.4779
2018/2/10,49.5319
2018/2/11,53.9708
2018/2/12,51.8411
2018/2/13,47.545
2018/2/14,51.8197
2018/2/15,51.2033
2018/2/16,45.7955
2018/2/17,52.1329
2018/2/18,49.5238
2018/2/19,39.1793
2018/2/20,42.5752
2018/2/21,51.1008
2018/2/22,55.0127
2018/2/23,46.9715
2018/2/24,56.2863
2018/2/25,39.9772
2018/2/26,58.2169
2018/2/27,42.9606
2018/2/28,50.7206
2018/3/1,43.3623
2018/3/2,52.1118
2018/3/3,53.1532
2018/3/4,50.6708
2018/3/5,52.5824
2018/3/6,52.138
2018/3/7,48.1553
2018/3/8,47.3549
2018/3/9,43.4746
2018/3/10,41.0325
2018/3/11,30.6116
2018/3/12,43.6656
2018/3/13,43.1368
2018/3/14,43.1744
2018/3/15,47.7508
2018/3/16,47.3188
2018/3/17,41.5365
2018/3/18,71.3923
2018/3/19,44.2202
2018/3/20,67.1767
2018/3/21,74.8175
2018/3/22,74.1874
2018/3/23,59.5327
2018/3/24,70.557
2018/3/25,65.8784
2018/3/26,50.1613
2018/3/27,59.797
2018/3/28,54.6315
