ymd,data
2018/1/1,56.837
2018/1/2,61.9324
2018/1/3,59.1844
2018/1/4,62.5701
2018/1/5,73.2225
2018/1/6,76.9026
2018/1/7,60.1611
2018/1/8,59.2526
2018/1/9,62.4327
2018/1/10,61.2769
2018/1/11,53.4748
2018/1/12,57.6288
2018/1/13,60.0062
2018/1/14,67.313
2018/1/15,57.3648
2018/1/16,66.2982
2018/1/17,59.5622
2018/1/18,60.9722
2018/1/19,61.3446
2018/1/20,58.4292
2018/1/21,57.4805
2018/1/22,61.2985
2018/1/23,56.1344
2018/1/24,61.0001
2018/1/25,60.0787
2018/1/26,56.8603
2018/1/27,60.0776
2018/1/28,63.1688
2018/1/29,63.2629
2018/1/30,55.9508
2018/1/31,64.1753
2018/2/1,63.1293
2018/2/2,59.2445
2018/2/3,53.6119
2018/2/4,56.6245
2018/2/5,53.6269
2018/2/6,59.77
2018/2/7,63.9761
2018/2/8,60.7629
2018/2/9,54.3816
2018/2/10,63.6696
2018/2/11,56.4036
2018/2/12,56.6144
2018/2/13,70.3966
2018/2/14,56.3135
2018/2/15,62.9975
2018/2/16,49.4447
2018/2/17,56.1073
2018/2/18,55.9098
2018/2/19,56.6942
2018/2/20,60.3732
2018/2/21,60.7113
2018/2/22,54.7127
2018/2/23,58.2782
2018/2/24,62.8485
2018/2/25,51.1977
2018/2/26,59.7802
2018/2/27,57.0804
2018/2/28,55.5272
2018/3/1,54.2536
2018/3/2,58.1287
2018/3/3,58.5052
2018/3/4,73.7758
2018/3/5,61.2847
2018/3/6,55.991
2018/3/7,57.1628
2018/3/8,59.7402
2018/3/9,61.4113
2018/3/10,65.4515
2018/3/11,69.1855
2018/3/12,59.2286
2018/3/13,62.5325
2018/3/14,55.9883
2018/3/15,67.5359
2018/3/16,60.6519
2018/3/17,58.8692
2018/3/18,62.3108
2018/3/19,59.2876
2018/3/20,60.7278
2018/3/21,62.5411
2018/3/22,56.8665
2018/3/23,71.0508
2018/3/24,65.7747
2018/3/25,61.2211
2018/3/26,62.4873
2018/3/27,61.0432
2018/3/28,56.6908
2018/3/29,54.7664
2018/3/30,61.8286
2018/3/31,54.0416
2018/4/1,62.9076
2018/4/2,53.7024
2018/4/3,52.728
2018/4/4,53.3654
2018/4/5,51.6183
2018/4/6,58.6962
2018/4/7,57.4576
2018/4/8,58.97
2018/4/9,53.4241
2018/4/10,63.0657
2018/4/11,62.0008
2018/4/12,97.1819
2018/4/13,58.76
2018/4/14,61.5911
2018/4/15,54.991
2018/4/16,64.0568
2018/4/17,67.1134
2018/4/18,67.4443
2018/4/19,57.6743
2018/4/20,65.1853
