ymd,data
2019/1/1,205.5977
2019/1/2,208.9843
2019/1/3,205.9859
2019/1/4,192.1813
2019/1/5,209.3386
2019/1/6,206.964
2019/1/7,213.6994
2019/1/8,197.7469
2019/1/9,209.9477
2019/1/10,207.6994
2019/1/11,209.2218
2019/1/12,211.158
2019/1/13,198.9409
2019/1/14,212.3452
2019/1/15,211.8791
2019/1/16,210.7939
2019/1/17,204.4677
2019/1/18,209.54
2019/1/19,211.7504
2019/1/20,212.1012
2019/1/21,206.8084
2019/1/22,210.9489
2019/1/23,212.5273
2019/1/24,207.7597
2019/1/25,201.8776
2019/1/26,184.9612
2019/1/27,209.2616
2019/1/28,206.3791
2019/1/29,206.2413
2019/1/30,220.2009
2019/1/31,213.4807
2019/2/1,209.2238
2019/2/2,217.5322
2019/2/3,215.406
2019/2/4,215.2242
2019/2/5,215.671
2019/2/6,207.2016
2019/2/7,219.4805
2019/2/8,219.2882
2019/2/9,216.194
2019/2/10,219.0388
2019/2/11,218.5985
2019/2/12,219.6496
2019/2/13,218.9778
2019/2/14,214.9998
2019/2/15,214.4906
2019/2/16,220.8054
2019/2/17,219.0947
2019/2/18,218.1554
2019/2/19,209.9363
2019/2/20,219.8235
2019/2/21,218.826
2019/2/22,213.7858
2019/2/23,220.0847
2019/2/24,217.6291
2019/2/25,221.2501
2019/2/26,220.1938
2019/2/27,212.4933
2019/2/28,211.0854
2019/3/1,217.2072
2019/3/2,215.8013
2019/3/3,219.5738
2019/3/4,218.8004
2019/3/5,218.9293
2019/3/6,219.6397
2019/3/7,218.3343
2019/3/8,210.4493
2019/3/9,214.1741
2019/3/10,218.6389
2019/3/11,211.8815
2019/3/12,216.1943
2019/3/13,216.4559
2019/3/14,216.0314
2019/3/15,220.8432
2019/3/16,213.1606
2019/3/17,203.0604
2019/3/18,219.2549
2019/3/19,202.9815
2019/3/20,219.3861
2019/3/21,218.8689
2019/3/22,221.5395
2019/3/23,219.9082
2019/3/24,213.2025
2019/3/25,217.1406
2019/3/26,218.0361
2019/3/27,220.0148
2019/3/28,219.3786
2019/3/29,218.9607
2019/3/30,219.1479
2019/3/31,214.6657
2019/4/1,214.195
2019/4/2,215.2278
2019/4/3,213.4942
2019/4/4,214.7555
2019/4/5,208.0869
2019/4/6,209.5853
2019/4/7,206.921
2019/4/8,209.102
2019/4/9,211.9236
2019/4/10,207.3978
2019/4/11,214.0045
2019/4/12,202.5303
2019/4/13,199.687
2019/4/14,205.9871
2019/4/15,205.6928
2019/4/16,209.2806
2019/4/17,214.7688
2019/4/18,214.5094
2019/4/19,210.3397
2019/4/20,210.0742
2019/4/21,202.364
2019/4/22,196.9981
2019/4/23,209.039
2019/4/24,213.7734
2019/4/25,210.4531
2019/4/26,217.6836
2019/4/27,205.6056
2019/4/28,184.8248
2019/4/29,208.4892
2019/4/30,205.9658
2019/5/1,217.9758
2019/5/2,205.8083
2019/5/3,203.036
2019/5/4,212.4495
2019/5/5,220.0006
2019/5/6,210.8466
2019/5/7,207.7034
2019/5/8,209.2449
2019/5/9,210.5713
2019/5/10,215.5671
2019/5/11,204.1973
2019/5/12,203.7689
2019/5/13,216.05
2019/5/14,211.4495
2019/5/15,220.1704
2019/5/16,219.4655
2019/5/17,212.1292
2019/5/18,198.7585
2019/5/19,213.3279
2019/5/20,211.4979
2019/5/21,207.3743
2019/5/22,215.3877
2019/5/23,216.8029
2019/5/24,217.315
2019/5/25,201.9063
2019/5/26,216.1725
2019/5/27,218.9075
2019/5/28,217.178
2019/5/29,203.4323
2019/5/30,203.0863
2019/5/31,210.6086
2019/6/1,177.8435
2019/6/2,210.1486
2019/6/3,216.3844
2019/6/4,214.626
2019/6/5,208.8091
2019/6/6,216.9072
2019/6/7,210.9704
2019/6/8,225
2019/6/9,207.7287
2019/6/10,213.2975
2019/6/11,0
2019/6/12,180.5942
2019/6/13,196.7529
2019/6/14,216.9205
2019/6/15,220.5525
2019/6/16,220.2844
2019/6/17,217.326
2019/6/18,213.3946
2019/6/19,0
2019/6/20,204.8841
2019/6/21,186.8244
2019/6/22,181.3334
2019/6/23,205.5524
2019/6/24,206.9337
2019/6/25,218.087
2019/6/26,191.1564
2019/6/27,180.3792
2019/6/28,180.9233
2019/6/29,181.1439
2019/6/30,187.2386
2019/7/1,0
2019/7/2,212.5857
2019/7/3,220.5683
2019/7/4,109.4834
2019/7/5,213.5535
2019/7/6,178.2948
2019/7/7,199.594
2019/7/8,205.4748
2019/7/9,195.475
2019/7/10,191.9531
2019/7/11,90.9721
2019/7/12,219.3114
