ymd,data
2018/1/1,135.0831
2018/1/2,130.5648
2018/1/3,133.6881
2018/1/4,130.3646
2018/1/5,131.8266
2018/1/6,132.4486
2018/1/7,132.7314
2018/1/8,136.7112
2018/1/9,133.8024
2018/1/10,0
2018/1/11,0
2018/1/12,134.3192
2018/1/13,134.3907
2018/1/14,133.2389
2018/1/15,134.5032
2018/1/16,131.89
2018/1/17,131.6812
2018/1/18,0
2018/1/19,0
2018/1/20,130.3899
2018/1/21,133.4164
2018/1/22,131.0375
2018/1/23,133.4779
2018/1/24,0
2018/1/25,0
2018/1/26,136.8775
2018/1/27,135.1082
2018/1/28,134.4948
2018/1/29,134.3619
2018/1/30,131.4906
2018/1/31,132.1286
2018/2/1,133.3375
2018/2/2,133.727
2018/2/3,133.2391
2018/2/4,0
2018/2/5,134.6496
2018/2/6,133.3541
2018/2/7,134.2017
2018/2/8,133.0352
2018/2/9,132.0731
2018/2/10,133.1373
2018/2/11,132.8905
2018/2/12,0
2018/2/13,132.4641
2018/2/14,132.5402
2018/2/15,136.3488
2018/2/16,137.3394
2018/2/17,138.1504
2018/2/18,136.4555
2018/2/19,135.8775
2018/2/20,137.0017
2018/2/21,136.7439
2018/2/22,136.5422
2018/2/23,137.8125
2018/2/24,138.3301
2018/2/25,134.8305
2018/2/26,136.3101
2018/2/27,135.7287
2018/2/28,137.2496
2018/3/1,0
2018/3/2,135.1866
2018/3/3,134.3962
2018/3/4,135.9814
2018/3/5,135.8369
2018/3/6,137.1904
2018/3/7,225
2018/3/8,134.2789
2018/3/9,135.0614
2018/3/10,135.0778
2018/3/11,132.5555
2018/3/12,0
2018/3/13,0
2018/3/14,135.5277
2018/3/15,135.4599
2018/3/16,135.9012
2018/3/17,137.7174
2018/3/18,134.3239
2018/3/19,135.3848
2018/3/20,134.4061
2018/3/21,134.5125
2018/3/22,0
2018/3/23,151.3547
2018/3/24,134.639
2018/3/25,138.6833
2018/3/26,150.2135
2018/3/27,129.5559
2018/3/28,0
2018/3/29,0
2018/3/30,131.8743
2018/3/31,134.0323
2018/4/1,132.0786
2018/4/2,133.0286
2018/4/3,135.7416
2018/4/4,135.3341
2018/4/5,0
2018/4/6,0
2018/4/7,134.5293
2018/4/8,135.932
2018/4/9,135.3997
2018/4/10,133.8739
2018/4/11,132.2788
2018/4/12,135.4648
2018/4/13,134.3489
2018/4/14,0
2018/4/15,137.3378
2018/4/16,131.3712
2018/4/17,130.3553
2018/4/18,137.001
2018/4/19,0
2018/4/20,137.4477
2018/4/21,135.7268
2018/4/22,0
2018/4/23,135.2345
2018/4/24,133.3524
2018/4/25,133.3026
2018/4/26,136.7585
2018/4/27,135.7716
2018/4/28,135.5756
2018/4/29,141.4798
2018/4/30,135.2261
2018/5/1,0
2018/5/2,0
2018/5/3,147.2474
2018/5/4,130.7422
2018/5/5,132.3047
2018/5/6,136.9868
2018/5/7,136.4115
2018/5/8,134.3767
2018/5/9,225
2018/5/10,225
2018/5/11,137.8595
2018/5/12,135.3121
2018/5/13,126.6018
2018/5/14,134.6443
2018/5/15,0
2018/5/16,139.3314
2018/5/17,133.8433
2018/5/18,136.3264
2018/5/19,134.6676
2018/5/20,133.2472
2018/5/21,137.7898
2018/5/22,133.9613
2018/5/23,131.8318
2018/5/24,137.7505
2018/5/25,0
2018/5/26,134.1557
2018/5/27,146.4121
2018/5/28,0
2018/5/29,139.0367
2018/5/30,141.2349
2018/5/31,140.8111
2018/6/1,140.1589
2018/6/2,135.3091
2018/6/3,136.2674
2018/6/4,142.4024
2018/6/5,137.1018
2018/6/6,142.2616
2018/6/7,144.1693
2018/6/8,0
2018/6/9,0
2018/6/10,136.752
2018/6/11,135.5819
2018/6/12,134.7108
2018/6/13,133.2603
2018/6/14,0
2018/6/15,0
2018/6/16,133.8542
2018/6/17,131.0877
2018/6/18,136.626
2018/6/19,144.9245
2018/6/20,132.3388
2018/6/21,130.7995
2018/6/22,138.2592
2018/6/23,140.8046
2018/6/24,0
2018/6/25,0
2018/6/26,135.2478
2018/6/27,140.7102
2018/6/28,136.0076
2018/6/29,132.1443
2018/6/30,155.0318
2018/7/1,141.8009
2018/7/2,0
2018/7/3,225
2018/7/4,225
2018/7/5,126.1344
2018/7/6,137.5775
2018/7/7,132.9534
2018/7/8,135.4784
2018/7/9,134.6326
2018/7/10,138.5403
2018/7/11,136.372
2018/7/12,121.2557
2018/7/13,130.8778
2018/7/14,133.0507
2018/7/15,136.3132
2018/7/16,137.2969
2018/7/17,136.155
2018/7/18,141.3188
2018/7/19,136.9583
2018/7/20,133.6573
2018/7/21,135.8211
2018/7/22,156.6231
2018/7/23,152.6379
2018/7/24,155.2122
2018/7/25,151.4949
2018/7/26,0
2018/7/27,148.8812
2018/7/28,161.9697
2018/7/29,153.7851
2018/7/30,146.7054
2018/7/31,164.0513
2018/8/1,140.5362
2018/8/2,0
2018/8/3,164.5747
2018/8/4,151.7104
2018/8/5,172.8258
2018/8/6,149.016
2018/8/7,144.3391
2018/8/8,133.5843
2018/8/9,134.2146
2018/8/10,134.0969
2018/8/11,133.0733
2018/8/12,140.263
2018/8/13,134.127
2018/8/14,134.7104
2018/8/15,136.1244
2018/8/16,133.8471
2018/8/17,137.4133
2018/8/18,136.531
2018/8/19,135.9892
2018/8/20,134.5286
2018/8/21,137.2499
2018/8/22,135.4133
2018/8/23,136.2829
2018/8/24,135.3765
2018/8/25,119.795
2018/8/26,136.6759
2018/8/27,132.6574
2018/8/28,137.432
2018/8/29,0
2018/8/30,138.2155
2018/8/31,129.9703
2018/9/1,136.2879
2018/9/2,137.4358
2018/9/3,135.5195
2018/9/4,132.9501
2018/9/5,134.6936
2018/9/6,144.6509
2018/9/7,133.7002
2018/9/8,131.1647
2018/9/9,137.2469
2018/9/10,135.1031
2018/9/11,138.2305
2018/9/12,136.89
2018/9/13,136.6781
2018/9/14,136.2897
2018/9/15,134.6563
2018/9/16,137.8559
2018/9/17,135.5789
2018/9/18,136.7964
2018/9/19,137.8657
2018/9/20,134.2834
2018/9/21,225
2018/9/22,136.8548
2018/9/23,0
2018/9/24,136.29
2018/9/25,132.6586
2018/9/26,137.365
2018/9/27,134.6462
2018/9/28,133.9114
2018/9/29,134.1315
2018/9/30,225
2018/10/1,141.3525
2018/10/2,135.4701
2018/10/3,135.8036
2018/10/4,135.425
2018/10/5,135.9046
2018/10/6,138.6701
2018/10/7,136.7074
2018/10/8,135.7487
2018/10/9,139.939
2018/10/10,141.3555
2018/10/11,137.8405
2018/10/12,131.7742
2018/10/13,129.763
2018/10/14,138.419
2018/10/15,137.2131
2018/10/16,137.013
2018/10/17,134.9526
2018/10/18,133.1701
2018/10/19,0
2018/10/20,0
2018/10/21,0
2018/10/22,134.6253
2018/10/23,152.1249
2018/10/24,136.0663
2018/10/25,138.0092
2018/10/26,156.101
2018/10/27,141.6786
2018/10/28,129.0867
2018/10/29,126.5488
2018/10/30,132.466
2018/10/31,133.597
2018/11/1,143.2321
2018/11/2,137.1436
2018/11/3,225
2018/11/4,0
2018/11/5,137.8639
