ymd,data
2018/1/1,42.6251
2018/1/2,24.9698
2018/1/3,38.6495
2018/1/4,59.6681
2018/1/5,46.3687
2018/1/6,31.8633
2018/1/7,35.6832
2018/1/8,36.8761
2018/1/9,50.1852
2018/1/10,39.9791
2018/1/11,36.3731
2018/1/12,49.3767
2018/1/13,36.7258
2018/1/14,54.3281
2018/1/15,51.2517
2018/1/16,30.5827
2018/1/17,41.2792
2018/1/18,51.8613
2018/1/19,58.3089
2018/1/20,40.3466
2018/1/21,49.3363
2018/1/22,59.316
2018/1/23,58.571
2018/1/24,69.8594
2018/1/25,51.3034
2018/1/26,73.9926
2018/1/27,80.0081
2018/1/28,79.4509
2018/1/29,85.4628
2018/1/30,87.2038
2018/1/31,82.7707
2018/2/1,-45
2018/2/2,58.6399
2018/2/3,49.1065
2018/2/4,57.6668
2018/2/5,41.6005
2018/2/6,54.9377
2018/2/7,64.2819
2018/2/8,57.1072
2018/2/9,25.3319
2018/2/10,50.2393
2018/2/11,58.4016
2018/2/12,56.0274
2018/2/13,50.9132
2018/2/14,57.2438
2018/2/15,57.2875
2018/2/16,43.4965
2018/2/17,55.6698
2018/2/18,52.2076
2018/2/19,35.1726
2018/2/20,44.1285
2018/2/21,54.4374
2018/2/22,59.758
2018/2/23,47.7425
2018/2/24,59.3328
2018/2/25,37.8792
2018/2/26,62.8148
2018/2/27,43.3187
2018/2/28,57.7424
2018/3/1,42.6665
2018/3/2,56.333
2018/3/3,53.4991
2018/3/4,50.8466
2018/3/5,58.3329
2018/3/6,58.7441
2018/3/7,51.9412
2018/3/8,51.1063
2018/3/9,43.7331
2018/3/10,38.6147
2018/3/11,22.4669
2018/3/12,42.8713
2018/3/13,40.9185
2018/3/14,46.204
2018/3/15,49.8306
2018/3/16,50.1213
2018/3/17,36.3812
2018/3/18,38.7996
2018/3/19,46.9946
2018/3/20,77.7947
2018/3/21,81.8064
2018/3/22,82.5943
2018/3/23,69.1993
2018/3/24,76.1224
2018/3/25,65.8049
2018/3/26,34.1674
2018/3/27,55.7259
2018/3/28,50.2676
2018/3/29,52.6992
2018/3/30,57.8033
2018/3/31,48.135
2018/4/1,46.5396
2018/4/2,50.6639
2018/4/3,45.4164
2018/4/4,48.316
2018/4/5,51.5389
2018/4/6,44.3009
2018/4/7,47.6813
2018/4/8,48.5712
2018/4/9,44.2045
2018/4/10,48.247
2018/4/11,44.5729
2018/4/12,41.465
2018/4/13,42.2331
2018/4/14,44.6831
2018/4/15,55.1307
2018/4/16,50.1075
2018/4/17,47.286
2018/4/18,45.7067
2018/4/19,45.1243
2018/4/20,84.0942
2018/4/21,86.1097
2018/4/22,52.8262
2018/4/23,49.4721
2018/4/24,50.4213
2018/4/25,56.4993
2018/4/26,48.9375
2018/4/27,43.3656
2018/4/28,48.6586
2018/4/29,44.755
2018/4/30,49.1782
2018/5/1,53.1778
2018/5/2,49.646
2018/5/3,50.1992
2018/5/4,40.9959
2018/5/5,45.0059
2018/5/6,42.7152
2018/5/7,48.3596
2018/5/8,49.9126
2018/5/9,52.8031
2018/5/10,49.1427
2018/5/11,55.2414
2018/5/12,42.5799
2018/5/13,50.6065
2018/5/14,52.5715
2018/5/15,34.0385
2018/5/16,49.3456
2018/5/17,47.4854
2018/5/18,55.3249
2018/5/19,51.9093
2018/5/20,43.0313
2018/5/21,36.0341
2018/5/22,72.2605
2018/5/23,36.3347
2018/5/24,42.0565
2018/5/25,52.3762
2018/5/26,53.204
2018/5/27,33.6057
2018/5/28,42.2915
2018/5/29,39.3134
2018/5/30,41.9321
2018/5/31,50.2363
2018/6/1,40.1708
2018/6/2,42.9021
2018/6/3,39.5089
2018/6/4,36.3071
2018/6/5,49.2623
2018/6/6,13.2083
2018/6/7,32.3761
2018/6/8,53.3281
2018/6/9,45.8123
2018/6/10,17.0481
2018/6/11,49.331
2018/6/12,18.155
2018/6/13,26.2556
2018/6/14,25.5855
2018/6/15,64.8134
2018/6/16,44.9621
2018/6/17,28.9973
2018/6/18,47.5359
2018/6/19,58.9549
2018/6/20,35.2535
2018/6/21,31.4663
2018/6/22,39.9702
2018/6/23,46.6351
2018/6/24,50.252
2018/6/25,51.7702
2018/6/26,45.3271
2018/6/27,60.443
2018/6/28,27.4136
2018/6/29,44.6618
2018/6/30,39.3671
2018/7/1,33.5087
2018/7/2,40.0814
2018/7/3,36.5302
2018/7/4,41.5665
2018/7/5,44.3779
2018/7/6,45.904
2018/7/7,37.3133
2018/7/8,46.8978
2018/7/9,43.7945
2018/7/10,13.1939
2018/7/11,20.3447
2018/7/12,46.8655
2018/7/13,23.0532
2018/7/14,76.3546
2018/7/15,58.9678
2018/7/16,20.5385
2018/7/17,51.4903
2018/7/18,88.0345
2018/7/19,48.7808
2018/7/20,49.6275
2018/7/21,13.665
2018/7/22,80.1745
2018/7/23,87.455
2018/7/24,80.5485
2018/7/25,76.3685
2018/7/26,69.2964
2018/7/27,87.6158
2018/7/28,87.6508
2018/7/29,88.2409
2018/7/30,87.2675
2018/7/31,87.5674
2018/8/1,88.1837
2018/8/2,88.3921
2018/8/3,88.2637
2018/8/4,82.4475
2018/8/5,82.4246
2018/8/6,84.9548
2018/8/7,88.476
2018/8/8,89.2691
2018/8/9,88.8799
2018/8/10,88.6118
2018/8/11,89.358
2018/8/12,88.3169
2018/8/13,87.6837
2018/8/14,87.956
2018/8/15,85.709
2018/8/16,86.1132
2018/8/17,49.5803
2018/8/18,34.9858
2018/8/19,37.9475
2018/8/20,42.4564
2018/8/21,35.253
2018/8/22,6.5467
2018/8/23,29.0026
2018/8/24,88.7424
2018/8/25,88.8903
2018/8/26,82.8493
2018/8/27,86.4571
2018/8/28,87.4167
2018/8/29,88.797
2018/8/30,89.7886
2018/8/31,87.2781
2018/9/1,89.1312
2018/9/2,89.5645
2018/9/3,89.523
2018/9/4,88.6406
2018/9/5,89.5155
2018/9/6,88.5113
2018/9/7,89.6121
2018/9/8,89.4357
2018/9/9,89.4504
2018/9/10,89.4694
2018/9/11,89.3901
2018/9/12,79.1907
2018/9/13,76.5639
2018/9/14,62.9213
2018/9/15,54.8069
2018/9/16,45.5514
2018/9/17,41.3617
2018/9/18,40.3705
2018/9/19,36.9912
2018/9/20,47.1537
2018/9/21,39.443
2018/9/22,50.4724
2018/9/23,46.4916
2018/9/24,47.1459
2018/9/25,36.1406
2018/9/26,34.3578
2018/9/27,37.7491
2018/9/28,41.4158
2018/9/29,37.5855
2018/9/30,42.2049
2018/10/1,47.227
2018/10/2,46.3623
2018/10/3,53.7598
2018/10/4,43.8511
2018/10/5,52.6653
2018/10/6,42.669
2018/10/7,37.6679
2018/10/8,34.8502
2018/10/9,33.8474
2018/10/10,41.2109
2018/10/11,36.7973
2018/10/12,45.4947
2018/10/13,45.9304
2018/10/14,45.7828
2018/10/15,44.6182
2018/10/16,46.9707
2018/10/17,35.9772
2018/10/18,46.2853
2018/10/19,43.1841
2018/10/20,41.057
2018/10/21,44.9703
2018/10/22,37.8471
2018/10/23,45.9823
2018/10/24,43.161
2018/10/25,41.0386
2018/10/26,53.2976
2018/10/27,39.5238
2018/10/28,50.2841
2018/10/29,25.1858
2018/10/30,48.776
2018/10/31,33.1047
2018/11/1,35.5746
2018/11/2,36.651
2018/11/3,43.9004
2018/11/4,51.0438
2018/11/5,38.5117
2018/11/6,39.2018
2018/11/7,0
2018/11/8,40.4163
2018/11/9,42.4378
2018/11/10,42.4236
2018/11/11,51.332
2018/11/12,49.3645
2018/11/13,50.7405
2018/11/14,41.8893
2018/11/15,50.1849
2018/11/16,37.7357
2018/11/17,44.5171
2018/11/18,60.9944
2018/11/19,51.3115
2018/11/20,27.8267
2018/11/21,49.2556
2018/11/22,40.4432
2018/11/23,43.1014
2018/11/24,50.5845
2018/11/25,47.0102
2018/11/26,45.1314
2018/11/27,41.8429
2018/11/28,49.8352
2018/11/29,33.983
2018/11/30,29.5068
2018/12/1,35.4991
2018/12/2,42.6918
2018/12/3,42.8764
2018/12/4,36.0741
2018/12/5,33.9396
2018/12/6,44.3493
2018/12/7,47.5432
2018/12/8,49.0915
2018/12/9,89.507
2018/12/10,87.9198
2018/12/11,86.2077
2018/12/12,11.5237
2018/12/13,37.9456
2018/12/14,86.4008
2018/12/15,-14.4955
2018/12/16,10.2851
2018/12/17,88.3366
2018/12/18,88.4966
2018/12/19,84.9507
2018/12/20,86.5079
2018/12/21,86.1552
2018/12/22,89.599
2018/12/23,89.6117
2018/12/24,85.7966
2018/12/25,-5.7447
2018/12/26,59.6776
2018/12/27,57.9624
2018/12/28,88.5192
2018/12/29,3.5254
2018/12/30,-9.6484
2018/12/31,3.1048
2019/1/1,88.2493
2019/1/2,84.2742
2019/1/3,44.9783
2019/1/4,46.6269
2019/1/5,37.2814
2019/1/6,37.7959
2019/1/7,42.9542
2019/1/8,57.9724
2019/1/9,49.8223
2019/1/10,49.3247
2019/1/11,48.4785
2019/1/12,46.6225
2019/1/13,39.8155
2019/1/14,36.41
2019/1/15,44.0907
2019/1/16,45.4467
2019/1/17,42.5251
2019/1/18,37.9565
2019/1/19,43.2201
2019/1/20,32.1124
2019/1/21,43.5872
2019/1/22,40.6875
2019/1/23,52.061
2019/1/24,32.4196
2019/1/25,41.06
2019/1/26,55.3744
2019/1/27,48.2325
2019/1/28,52.3059
2019/1/29,50.547
2019/1/30,41.8041
2019/1/31,39.0762
2019/2/1,35.7968
2019/2/2,46.1503
2019/2/3,39.2822
2019/2/4,44.071
2019/2/5,42.454
2019/2/6,45.359
2019/2/7,46.6438
2019/2/8,54.5352
2019/2/9,40.3781
2019/2/10,41.6441
2019/2/11,39.5971
2019/2/12,48.5467
2019/2/13,42.7641
2019/2/14,43.8161
2019/2/15,41.2196
2019/2/16,43.5161
2019/2/17,42.5539
2019/2/18,52.3058
2019/2/19,39.4325
2019/2/20,46.3132
2019/2/21,42.9491
2019/2/22,44.6369
2019/2/23,42.3068
2019/2/24,44.0368
2019/2/25,47.7283
2019/2/26,43.5723
2019/2/27,48.4074
2019/2/28,42.9862
2019/3/1,43.9824
2019/3/2,46.5602
2019/3/3,53.6614
2019/3/4,41.6112
2019/3/5,39.7206
2019/3/6,36.5827
2019/3/7,40.9519
2019/3/8,38.5128
2019/3/9,45.4388
2019/3/10,44.1268
2019/3/11,36.7904
2019/3/12,45.2301
2019/3/13,43.6503
2019/3/14,38.2128
2019/3/15,37.845
2019/3/16,42.6533
2019/3/17,38.2526
2019/3/18,34.1429
2019/3/19,34.7931
2019/3/20,36.0074
2019/3/21,40.9132
2019/3/22,29.3701
2019/3/23,32.4418
2019/3/24,41.434
2019/3/25,36.2652
2019/3/26,33.4707
2019/3/27,42.4706
2019/3/28,35.3598
2019/3/29,28.9679
2019/3/30,42.7478
2019/3/31,36.2148
2019/4/1,43.2532
2019/4/2,26.1633
2019/4/3,32.3389
2019/4/4,40.5883
2019/4/5,36.0337
2019/4/6,43.3232
2019/4/7,41.2474
2019/4/8,40.8333
2019/4/9,39.3391
2019/4/10,32.8598
2019/4/11,33.1079
2019/4/12,29.0401
2019/4/13,29.9403
2019/4/14,26.3609
2019/4/15,25.0434
2019/4/16,30.1728
2019/4/17,0
2019/4/18,0
2019/4/19,34.6877
2019/4/20,35.1576
2019/4/21,38.1284
2019/4/22,39.0949
2019/4/23,39.1369
2019/4/24,36.7652
2019/4/25,36.2335
2019/4/26,41.1352
2019/4/27,28.9168
2019/4/28,28.5764
2019/4/29,41.6016
2019/4/30,31.8994
2019/5/1,42.0747
2019/5/2,45.5581
2019/5/3,33.7165
2019/5/4,42.1264
2019/5/5,40.5139
2019/5/6,35.0891
2019/5/7,26.1452
2019/5/8,25.4688
2019/5/9,31.6946
2019/5/10,38.0663
2019/5/11,40.907
2019/5/12,38.3971
2019/5/13,33.3533
2019/5/14,52.0689
2019/5/15,42.1838
2019/5/16,34.476
2019/5/17,39.3008
2019/5/18,24.6803
2019/5/19,33.7664
2019/5/20,29.1934
2019/5/21,62.9124
2019/5/22,31.3459
2019/5/23,52.728
2019/5/24,46.7675
2019/5/25,31.0169
2019/5/26,27.4422
2019/5/27,52.889
2019/5/28,44.5188
2019/5/29,52.9595
2019/5/30,36.0734
2019/5/31,46.0801
2019/6/1,52.7548
2019/6/2,47.8604
2019/6/3,43.8414
2019/6/4,47.9738
2019/6/5,48.1403
2019/6/6,37.814
2019/6/7,34.3421
2019/6/8,41.9256
2019/6/9,46.2451
2019/6/10,44.1191
2019/6/11,32.9451
2019/6/12,49.7677
2019/6/13,49.4057
2019/6/14,53.9088
2019/6/15,56.7154
2019/6/16,50.1441
2019/6/17,49.1198
2019/6/18,49.7021
2019/6/19,47.4646
2019/6/20,50.6784
2019/6/21,51.89
2019/6/22,49.5379
2019/6/23,46.8385
2019/6/24,40.5037
2019/6/25,49.3479
2019/6/26,43.599
2019/6/27,39.038
2019/6/28,49.8164
2019/6/29,46.0343
2019/6/30,13.853
2019/7/1,-36.7724
2019/7/2,-13.5127
2019/7/3,14.203
2019/7/4,25.2595
2019/7/5,51.5174
2019/7/6,43.1301
2019/7/7,35.0997
2019/7/8,-8.1408
2019/7/9,-26.3645
2019/7/10,22.9446
2019/7/11,39.5013
2019/7/12,36.5396
2019/7/13,45.307
2019/7/14,44.3963
2019/7/15,0
2019/7/16,0
2019/7/17,0
2019/7/18,0
2019/7/19,31.9469
2019/7/20,19.0982
2019/7/21,27.9304
2019/7/22,0
2019/7/23,0
2019/7/24,-14.5907
2019/7/25,-26.5106
2019/7/26,-15.9821
2019/7/27,-22.624
2019/7/28,52.2057
2019/7/29,42.7572
2019/7/30,0
2019/7/31,-20.1009
2019/8/1,-19.4769
2019/8/2,11.5138
2019/8/3,10.007
2019/8/4,47.8093
2019/8/5,42.7411
2019/8/6,28.0016
2019/8/7,-40.5074
2019/8/8,-35.7819
2019/8/9,-33.5703
2019/8/10,-43.0428
2019/8/11,-36.9016
2019/8/12,-41.4584
2019/8/13,-39.1573
2019/8/14,-35.4584
2019/8/15,-36.4695
2019/8/16,-17.2259
2019/8/17,-34.1227
2019/8/18,0
2019/8/19,-43.5312
2019/8/20,-42.0496
2019/8/21,0
2019/8/22,0
2019/8/23,-42.2952
2019/8/24,-37.932
2019/8/25,-37.4
2019/8/26,14.3897
2019/8/27,3.8037
2019/8/28,0.4071
2019/8/29,-37.7131
2019/8/30,-29.8383
2019/8/31,-10.2462
2019/9/1,21.8569
2019/9/2,33.3499
2019/9/3,44.6787
2019/9/4,44.3439
2019/9/5,29.9305
2019/9/6,45.7903
2019/9/7,52.3064
2019/9/8,13.407
2019/9/9,48.9271
2019/9/10,45.2672
2019/9/11,36.6598
2019/9/12,48.4996
2019/9/13,43.1343
2019/9/14,23.4656
2019/9/15,25.6272
2019/9/16,35.7576
2019/9/17,44.644
2019/9/18,38.1185
2019/9/19,33.6555
2019/9/20,34.8831
2019/9/21,37.1056
2019/9/22,38.5684
2019/9/23,33.17
2019/9/24,36.067
2019/9/25,40.7751
2019/9/26,41.0986
2019/9/27,37.54
2019/9/28,41.2408
