ymd,data
2018/1/1,85.0567
2018/1/2,80.5429
2018/1/3,83.15
2018/1/4,77.7361
2018/1/5,83.5565
2018/1/6,84.3564
2018/1/7,82.6008
2018/1/8,85.7578
2018/1/9,84.6215
2018/1/10,83.865
2018/1/11,78.8562
2018/1/12,85.222
2018/1/13,81.8618
2018/1/14,86.2372
2018/1/15,84.5221
2018/1/16,84.1664
2018/1/17,82.6339
2018/1/18,80.7822
2018/1/19,83.8382
2018/1/20,85.0383
2018/1/21,84.9666
2018/1/22,83.6653
2018/1/23,85.2459
2018/1/24,84.8985
2018/1/25,85.5156
2018/1/26,85.5021
2018/1/27,84.8487
2018/1/28,82.4055
2018/1/29,83.9284
2018/1/30,82.358
2018/1/31,84.4096
2018/2/1,81.5308
2018/2/2,82.8663
2018/2/3,85.7849
2018/2/4,83.57
2018/2/5,84.6005
2018/2/6,84.4392
2018/2/7,83.8537
2018/2/8,83.083
2018/2/9,83.2389
2018/2/10,85.5848
2018/2/11,84.6471
2018/2/12,85.6226
2018/2/13,85.3885
2018/2/14,82.87
2018/2/15,83.978
2018/2/16,85.6839
2018/2/17,85.7553
2018/2/18,86.5658
2018/2/19,86.4379
2018/2/20,85.6846
2018/2/21,84.983
2018/2/22,85.0821
2018/2/23,86.7027
2018/2/24,86.6755
2018/2/25,85.4801
2018/2/26,86.5327
2018/2/27,86.1009
2018/2/28,86.0777
2018/3/1,81.8627
2018/3/2,84.7033
2018/3/3,84.8875
2018/3/4,85.0859
2018/3/5,85.3389
2018/3/6,83.4694
2018/3/7,83.6568
2018/3/8,85.8747
2018/3/9,84.5558
2018/3/10,86.0747
2018/3/11,82.6094
2018/3/12,85.0715
2018/3/13,84.8708
2018/3/14,86.3667
2018/3/15,86.1303
2018/3/16,86.9174
2018/3/17,86.3395
2018/3/18,85.8772
2018/3/19,87.3131
2018/3/20,86.5735
2018/3/21,86.6358
2018/3/22,60.0714
2018/3/23,84.3353
2018/3/24,85.3384
2018/3/25,85.0431
2018/3/26,85.7797
2018/3/27,86.1985
2018/3/28,82.0421
2018/3/29,85.2812
2018/3/30,85.7006
2018/3/31,86.2579
2018/4/1,85.4805
2018/4/2,87.1479
2018/4/3,86.0991
2018/4/4,85.5572
2018/4/5,87.1677
2018/4/6,86.6963
2018/4/7,86.4147
2018/4/8,85.9068
2018/4/9,87.4768
2018/4/10,87.5011
2018/4/11,84.1165
2018/4/12,85.9626
2018/4/13,85.3978
2018/4/14,66.8171
2018/4/15,86.3165
2018/4/16,86.2641
2018/4/17,85.4602
2018/4/18,86.7182
2018/4/19,85.1227
2018/4/20,87.56
2018/4/21,80.6764
2018/4/22,87.0421
2018/4/23,88.1443
2018/4/24,86.909
2018/4/25,86.0609
2018/4/26,87.2905
