ymd,data
2018/1/1,0
2018/1/2,0
2018/1/3,-32.6876
2018/1/4,-34.79
2018/1/5,0
2018/1/6,0
2018/1/7,0
2018/1/8,0
2018/1/9,0
2018/1/10,0
2018/1/11,0
2018/1/12,66.4248
2018/1/13,-23.4774
2018/1/14,-6.2911
2018/1/15,14.3947
2018/1/16,53.4583
2018/1/17,4.397
2018/1/18,-37.397
2018/1/19,-35.9036
2018/1/20,-36.4877
2018/1/21,-35.0992
2018/1/22,-34.0865
2018/1/23,-45
2018/1/24,-36.0933
2018/1/25,-34.9314
2018/1/26,-10.9608
2018/1/27,-28.7298
2018/1/28,-18.1588
2018/1/29,-19.4173
2018/1/30,-26.347
2018/1/31,-25.848
2018/2/1,-16.7319
2018/2/2,-27.0267
2018/2/3,-21.7058
2018/2/4,-30.2172
2018/2/5,-25.4145
2018/2/6,-24.3003
2018/2/7,-28.8235
2018/2/8,-22.9128
2018/2/9,-23.851
2018/2/10,-20.6133
2018/2/11,-25.7102
2018/2/12,-24.1834
2018/2/13,-23.3593
2018/2/14,-27.5208
2018/2/15,0
2018/2/16,-29.0696
2018/2/17,-20.3268
2018/2/18,-21.7368
2018/2/19,-20.7443
2018/2/20,-22.2529
2018/2/21,-22.0718
2018/2/22,-21.7746
2018/2/23,-17.1228
2018/2/24,-20.0254
2018/2/25,-9.6116
2018/2/26,-5.5069
2018/2/27,-22.1151
2018/2/28,-20.5687
2018/3/1,-25.9502
2018/3/2,-12.2757
2018/3/3,-22.8322
2018/3/4,-18.8107
2018/3/5,-18.7689
2018/3/6,-22.1032
2018/3/7,-14.3941
2018/3/8,-17.6465
2018/3/9,-14.3524
2018/3/10,-25.6401
2018/3/11,-18.7203
2018/3/12,-34.0385
2018/3/13,-36.6293
2018/3/14,-9.6442
2018/3/15,-17.8703
2018/3/16,-1.8654
2018/3/17,-23.2427
2018/3/18,-30.9253
2018/3/19,-36.2607
2018/3/20,-35.603
2018/3/21,-34.0061
2018/3/22,-37.0173
2018/3/23,-38.1655
2018/3/24,-37.2593
2018/3/25,-34.8113
2018/3/26,79.3556
2018/3/27,13.0461
2018/3/28,-36.8175
2018/3/29,-25.522
2018/3/30,-36.6074
2018/3/31,-37.1581
2018/4/1,-36.2574
2018/4/2,-36.7138
2018/4/3,-29.9345
2018/4/4,-31.3305
2018/4/5,0
2018/4/6,-17.0826
2018/4/7,-37.0584
2018/4/8,-36.7561
2018/4/9,-36.8456
2018/4/10,-38.1253
2018/4/11,-34.4727
2018/4/12,-40.2461
2018/4/13,0.9521
2018/4/14,-37.1982
2018/4/15,-38.5396
2018/4/16,-24.6807
2018/4/17,19.1462
2018/4/18,88.5149
2018/4/19,30.0635
2018/4/20,58.9552
2018/4/21,47.4637
2018/4/22,56.8468
2018/4/23,-30.0581
2018/4/24,68.7331
2018/4/25,-34.8204
2018/4/26,19.265
2018/4/27,-18.9538
2018/4/28,-38.4464
2018/4/29,76.9516
2018/4/30,52.457
2018/5/1,68.9078
2018/5/2,33.9054
2018/5/3,-3.0169
2018/5/4,-5.2279
2018/5/5,-31.0969
2018/5/6,-38.3682
2018/5/7,-25.4092
2018/5/8,29.783
2018/5/9,-27.6097
2018/5/10,-18.0394
